"Cliente","Strumento","Moneta","Saldo","NumeroValore","Nome","PrezzoMedio","PrezzoMercato","ValorePosizione","ValoreMonetaRiferimento","Evoluzione","Ordine","Categoria","ValoreMercatoMonetaCHF","ValoreMercatoMonetaEUR","ValoreMercatoMonetaUSD","ID_AAA","ID_strumento","ID_transazione","Ticker_indice_per_BETA","Valuta","VariazioneFX"
"pippo131","O      ","BRL",1e+06,"3756918","20130214 - 11.25% EIB 14-02-13",103.437,103.26,1032600,600418.653331783,-0.00171118651933055,"D ","Obbligazioni e simili          ",550944.156297244,456765.807023038,600418.653331783,1132,2,NA,NA,NA,NA
"pippo131","O      ","USD",865000,"US46556MAB81","20210122 - 5.75% ITAU UNIBANCO HOLD 22-01-21",101.05,101.55,878407.5,878407.5,0.00494804552201877,"D ","Obbligazioni e simili          ",806026.722,668244.579688094,878407.5,1868,2,NA,NA,NA,NA
"pippo131","O      ","USD",2e+05,"USG2585XAA75","20200923 - 7% CSN Islands (Callable Pereptual 23.09.2015) 23-09-20",98.9,99.09,198180,198180,0.00192113245702719,"D ","Obbligazioni e simili          ",181849.968,150764.549258273,198180,1602,2,NA,NA,NA,NA
"pippo131","O      ","USD",2e+05,"USG6710EAF72","20150914 - 7.5% Odebrecht Finance (Callable Perpetual 14.09.2015) 14-09-15",100,100.95,201900,201900,0.00950000000000006,"D ","Obbligazioni e simili          ",185263.44,153594.52263218,201900,1600,2,NA,NA,NA,NA
"pippo131","O      ","USD",9e+05,"USP0763MBW03","20200408 - 7.875% Banco ABC Brasil 08-04-20",105.291666666667,100.48,904320,904320,-0.0456984566679858,"D ","Obbligazioni e simili          ",829804.032,687957.398250285,904320,1580,2,NA,NA,NA,NA
"pippo131","O      ","USD",2e+05,"XS0556373347","20151105 - 8.25% Cosan (Callable Perpetual 05.11.2015) 05-11-15",101.75,102.38,204760,204760,0.00619164619164625,"D ","Obbligazioni e simili          ",187887.776,155770.254849753,204760,1601,2,NA,NA,NA,NA
"pippo131","O      ","BRL",1100000,"XS0626896178","20160516 - 6.25% Banco Votorantim 16-05-16",101.804041,103.25,1135750,660396.557739272,0.0142033556408629,"D ","Obbligazioni e simili          ",605979.881381556,502393.729736989,660396.557739272,1739,2,NA,NA,NA,NA
"pippo132","O      ","EUR",100,"2189433","20201231 - 0% CAAM Interinvest Short Term EUR Cap 31-12-20",10137,10300,10300,10300,0.0160797080003945,"D ","Obbligazioni e simili          ",12423.70756,10300,13539.35,792,2,NA,NA,NA,NA
"pippo132","A","USD",110,"358437US","JPM America Equity A dist-USD",72.370002746582,65.78,7235.8,5504.60251046025,-0.0910598659179029,"E","Azioni e simili",6639.57008,5504.60251046025,7235.8,1443,14,NA,NA,NA,NA
"pippo132","A","CHF",100,"1203204CH","Roche Holding Gs",121.199996948242,159.3,15930,13206.9270954411,0.314356468738429,"E","Azioni e simili",15930,13206.9270954411,17360.5056669573,824,1,NA,"SMI.S",NA,NA
